ref,after,class,type,lemma,normalized,strong,number,gender,case,gloss,domain,ln,morph,unicode,id,wordOrder,LeafName,word,bookLong,bookNum,bookShort,chapter,verse,parents,Parent1Name,Parent1Type,Parent1Appos,Parent1Class,Parent1Rule,Parent1Role,Parent1Cltype,Parent1Unit,Parent1Junction,Parent1SN,Parent1WGN,Parent2Name,Parent2Type,Parent2Appos,Parent2Class,Parent2Rule,Parent2Role,Parent2Cltype,Parent2Unit,Parent2Junction,Parent2SN,Parent2WGN,Parent3Name,Parent3Type,Parent3Appos,Parent3Class,Parent3Rule,Parent3Role,Parent3Cltype,Parent3Unit,Parent3Junction,Parent3SN,Parent3WGN,Parent4Name,Parent4Type,Parent4Appos,Parent4Class,Parent4Rule,Parent4Role,Parent4Cltype,Parent4Unit,Parent4Junction,Parent4SN,Parent4WGN,Parent5Name,Parent5Type,Parent5Appos,Parent5Class,Parent5Rule,Parent5Role,Parent5Cltype,Parent5Unit,Parent5Junction,Parent5SN,Parent5WGN,Parent6Name,Parent6Type,Parent6Appos,Parent6Class,Parent6Rule,Parent6Role,Parent6Cltype,Parent6Unit,Parent6Junction,Parent6SN,Parent6WGN,Parent7Name,Parent7Type,Parent7Appos,Parent7Class,Parent7Rule,Parent7Role,Parent7Cltype,Parent7Unit,Parent7Junction,Parent7SN,Parent7WGN,Parent8Name,Parent8Type,Parent8Appos,Parent8Class,Parent8Rule,Parent8Role,Parent8Cltype,Parent8Unit,Parent8Junction,Parent8SN,Parent8WGN,Parent9Name,Parent9Type,Parent9Appos,Parent9Class,Parent9Rule,Parent9Role,Parent9Cltype,Parent9Unit,Parent9Junction,Parent9SN,Parent9WGN,junction,Parent10Name,Parent10Type,Parent10Appos,Parent10Class,Parent10Rule,Parent10Role,Parent10Cltype,Parent10Unit,Parent10Junction,Parent10SN,Parent10WGN,Parent11Name,Parent11Type,Parent11Appos,Parent11Class,Parent11Rule,Parent11Role,Parent11Cltype,Parent11Unit,Parent11Junction,Parent11SN,Parent11WGN,role,discontinuous,referent,person,tense,voice,mood,frame,subjref,Parent12Name,Parent12Type,Parent12Appos,Parent12Class,Parent12Rule,Parent12Role,Parent12Cltype,Parent12Unit,Parent12Junction,Parent12SN,Parent12WGN,Parent13Name,Parent13Type,Parent13Appos,Parent13Class,Parent13Rule,Parent13Role,Parent13Cltype,Parent13Unit,Parent13Junction,Parent13SN,Parent13WGN,Parent14Name,Parent14Type,Parent14Appos,Parent14Class,Parent14Rule,Parent14Role,Parent14Cltype,Parent14Unit,Parent14Junction,Parent14SN,Parent14WGN,Parent15Name,Parent15Type,Parent15Appos,Parent15Class,Parent15Rule,Parent15Role,Parent15Cltype,Parent15Unit,Parent15Junction,Parent15SN,Parent15WGN,Parent16Name,Parent16Type,Parent16Appos,Parent16Class,Parent16Rule,Parent16Role,Parent16Cltype,Parent16Unit,Parent16Junction,Parent16SN,Parent16WGN,Parent17Name,Parent17Type,Parent17Appos,Parent17Class,Parent17Rule,Parent17Role,Parent17Cltype,Parent17Unit,Parent17Junction,Parent17SN,Parent17WGN,Parent18Name,Parent18Type,Parent18Appos,Parent18Class,Parent18Rule,Parent18Role,Parent18Cltype,Parent18Unit,Parent18Junction,Parent18SN,Parent18WGN,Parent19Name,Parent19Type,Parent19Appos,Parent19Class,Parent19Rule,Parent19Role,Parent19Cltype,Parent19Unit,Parent19Junction,Parent19SN,Parent19WGN,Parent20Name,Parent20Type,Parent20Appos,Parent20Class,Parent20Rule,Parent20Role,Parent20Cltype,Parent20Unit,Parent20Junction,Parent20SN,Parent20WGN,Parent21Name,Parent21Type,Parent21Appos,Parent21Class,Parent21Rule,Parent21Role,Parent21Cltype,Parent21Unit,Parent21Junction,Parent21SN,Parent21WGN
1TH 2:13!21, ,noun,common,ἄνθρωπος,ἀνθρώπων,444,plural,masculine,genitive,of men,009001,9.1,N-GPM,ἀνθρώπων,n52002013021,109753,w,ἀνθρώπων,I_Thessalonians,13,1Thess,2,13,9,wg,,,np,NPofNP,,,,,,354,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!22, ,conj,,ἀλλά,ἀλλά,235,,,,but,089023,89.125,CONJ,ἀλλὰ,n52002013022,109754,w,ἀλλὰ,I_Thessalonians,13,1Thess,2,13,8,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!23, ,conj,,καθώς,καθώς,2531,,,,even as,064,64.14,ADV,καθὼς,n52002013023,109755,w,καθὼς,I_Thessalonians,13,1Thess,2,13,11,wg,,,,sub-CL,,,,,,357,wg,apposition,,np,CL-NP,,,,,,356,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!24, ,adv,,ἀληθῶς,ἀληθῶς,230,,,,truly,070,70.3,ADV,ἀληθῶς,n52002013024,109756,w,ἀληθῶς,I_Thessalonians,13,1Thess,2,13,12,wg,,,cl,P-VC,,,,,,358,wg,,,,sub-CL,,,,,,357,wg,apposition,,np,CL-NP,,,,,,356,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,p,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!25, ,verb,,εἰμί,ἐστίν,1510,singular,,,it is,,,V-PAI-3S,ἐστὶν,n52002013025,109757,w,ἐστὶν,I_Thessalonians,13,1Thess,2,13,12,wg,,,cl,P-VC,,,,,,358,wg,,,,sub-CL,,,,,,357,wg,apposition,,np,CL-NP,,,,,,356,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,vc,,,third,present,active,indicative,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!26, ,noun,common,λόγος,λόγον,3056,singular,masculine,accusative,[the] word,033006,33.98,N-ASM,λόγον,n52002013026,109758,w,λόγον,I_Thessalonians,13,1Thess,2,13,11,wg,,,np,NPofNP,,,,apposition,,359,wg,apposition,,np,CL-NP,,,,,,356,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!27,",",noun,common,θεός,Θεοῦ,2316,singular,masculine,genitive,of God,012001,12.1,N-GSM,"Θεοῦ,",n52002013027,109759,w,Θεοῦ,I_Thessalonians,13,1Thess,2,13,11,wg,,,np,NPofNP,,,,apposition,,359,wg,apposition,,np,CL-NP,,,,,,356,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!28, ,pron,relative,ὅς,ὅς,3739,singular,masculine,nominative,which,,,R-NSM,ὃς,n52002013028,109760,w,ὃς,I_Thessalonians,13,1Thess,2,13,10,wg,,,cl,S-ADV-V-ADV,,,,apposition,,360,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,,book,,,,,,,,,,,,,,,,,,,,,,s,,n52002013026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!29, ,adv,,καί,καί,2532,,,,also,089017,89.93,CONJ,καὶ,n52002013029,109761,w,καὶ,I_Thessalonians,13,1Thess,2,13,10,wg,,,cl,S-ADV-V-ADV,,,,apposition,,360,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,,book,,,,,,,,,,,,,,,,,,,,,,adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!30, ,verb,,ἐνεργέω,ἐνεργεῖται,1754,singular,,,works,042001,42.3,V-PMI-3S,ἐνεργεῖται,n52002013030,109762,w,ἐνεργεῖται,I_Thessalonians,13,1Thess,2,13,10,wg,,,cl,S-ADV-V-ADV,,,,apposition,,360,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,,book,,,,,,,,,,,,,,,,,,,,,,v,,,third,present,middle,indicative,A0:n52002013028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!31, ,prep,,ἐν,ἐν,1722,,,,in,083003,83.13 83.9,PREP,ἐν,n52002013031,109763,w,ἐν,I_Thessalonians,13,1Thess,2,13,11,wg,,,pp,PrepNp,adv,,,,,361,wg,,,cl,S-ADV-V-ADV,,,,apposition,,360,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!32, ,pron,personal,σύ,ὑμῖν,4771,plural,,dative,you,,,P-2DP,ὑμῖν,n52002013032,109764,w,ὑμῖν,I_Thessalonians,13,1Thess,2,13,12,wg,apposition,,np,Np-Appos,,,,,,362,wg,,,pp,PrepNp,adv,,,,,361,wg,,,cl,S-ADV-V-ADV,,,,apposition,,360,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,,,n52002009003,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!33, ,det,,ὁ,τοῖς,3588,plural,masculine,dative,who,092004,92.24,T-DPM,τοῖς,n52002013033,109765,w,τοῖς,I_Thessalonians,13,1Thess,2,13,13,wg,,,,DetCL,,,,apposition,,363,wg,apposition,,np,Np-Appos,,,,,,362,wg,,,pp,PrepNp,adv,,,,,361,wg,,,cl,S-ADV-V-ADV,,,,apposition,,360,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,wg,,,cl,,,,,,,341,,wg,,,,Conj-CL,,,,,,340,wg,,,,,,,,,,339,,,,,,,,,,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:13!34,.,verb,,πιστεύω,πιστεύουσιν,4100,plural,masculine,dative,believe,031010,31.102,V-PAP-DPM,πιστεύουσιν.,n52002013034,109766,w,πιστεύουσιν,I_Thessalonians,13,1Thess,2,13,14,wg,,,cl,V2CL,,,,,,364,wg,,,,DetCL,,,,apposition,,363,wg,apposition,,np,Np-Appos,,,,,,362,wg,,,pp,PrepNp,adv,,,,,361,wg,,,cl,S-ADV-V-ADV,,,,apposition,,360,wg,apposition,,np,NP-CL,,,,,,355,wg,group,,,notNPbutNP,o,,,,,353,wg,,,cl,ADV-V-O,,,,,,346,wg,,,,that-VP,o,,,,,345,,wg,,,cl,,,,,,,341,wg,,,,Conj-CL,,,,,,340,v,,,,present,active,participle,A0:n52002009003,n52002009003,wg,,,,,,,,,,339,sentence,,,,,,,,,14,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!2, ,conj,,γάρ,γάρ,1063,,,,for,089007,89.23,CONJ,γὰρ,n52002014002,109767,w,γὰρ,I_Thessalonians,13,1Thess,2,14,4,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!5,",",noun,common,ἀδελφός,ἀδελφοί,80,plural,masculine,vocative,brothers,011002,11.23,N-VPM,"ἀδελφοί,",n52002014005,109768,w,ἀδελφοί,I_Thessalonians,13,1Thess,2,14,6,wg,,,,Np2CL,,Minor,,,,368,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aux,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!1, ,pron,personal,σύ,ὑμεῖς,4771,plural,,nominative,You,,,P-2NP,ὑμεῖς,n52002014001,109769,w,ὑμεῖς,I_Thessalonians,13,1Thess,2,14,5,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,n52002014005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!4,",",verb,,γίνομαι,ἐγενήθητε,1096,plural,,,became,013002,13.48,V-AOI-2P,"ἐγενήθητε,",n52002014004,109770,w,ἐγενήθητε,I_Thessalonians,13,1Thess,2,14,5,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vc,true,,second,aorist,passive,indicative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!3, ,noun,common,μιμητής,μιμηταί,3402,plural,masculine,nominative,imitators,041004,41.45,N-NPM,μιμηταὶ,n52002014003,109771,w,μιμηταὶ,I_Thessalonians,13,1Thess,2,14,6,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!6, ,det,,ὁ,τῶν,3588,plural,feminine,genitive,of the,092004,92.24,T-GPF,τῶν,n52002014006,109772,w,τῶν,I_Thessalonians,13,1Thess,2,14,8,wg,,,np,DetNP,,,,,,371,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!7, ,noun,common,ἐκκλησία,ἐκκλησιῶν,1577,plural,feminine,genitive,churches,011002,11.32,N-GPF,ἐκκλησιῶν,n52002014007,109773,w,ἐκκλησιῶν,I_Thessalonians,13,1Thess,2,14,9,wg,,,np,NPofNP,,,,,,372,wg,,,np,DetNP,,,,,,371,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!8, ,det,,ὁ,τοῦ,3588,singular,masculine,genitive,-,092004,92.24,T-GSM,τοῦ,n52002014008,109774,w,τοῦ,I_Thessalonians,13,1Thess,2,14,10,wg,,,np,DetNP,,,,,,373,wg,,,np,NPofNP,,,,,,372,wg,,,np,DetNP,,,,,,371,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!9, ,noun,common,θεός,Θεοῦ,2316,singular,masculine,genitive,of God,012001,12.1,N-GSM,Θεοῦ,n52002014009,109775,w,Θεοῦ,I_Thessalonians,13,1Thess,2,14,10,wg,,,np,DetNP,,,,,,373,wg,,,np,NPofNP,,,,,,372,wg,,,np,DetNP,,,,,,371,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!10, ,det,,ὁ,τῶν,3588,plural,feminine,genitive,-,092004,92.24,T-GPF,τῶν,n52002014010,109776,w,τῶν,I_Thessalonians,13,1Thess,2,14,8,wg,,,,DetCL,,,,apposition,,374,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!11, ,verb,,εἰμί,οὐσῶν,1510,plural,feminine,genitive,being,,,V-PAP-GPF,οὐσῶν,n52002014011,109777,w,οὐσῶν,I_Thessalonians,13,1Thess,2,14,9,wg,,,cl,VC-P-ADV,,,,,,375,wg,,,,DetCL,,,,apposition,,374,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vc,,,,present,active,participle,,n52002014007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!12, ,prep,,ἐν,ἐν,1722,,,,in,089020,89.119,PREP,ἐν,n52002014012,109778,w,ἐν,I_Thessalonians,13,1Thess,2,14,10,wg,,,pp,PrepNp,p,,,,,376,wg,,,cl,VC-P-ADV,,,,,,375,wg,,,,DetCL,,,,apposition,,374,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,sentence,,,,,,,,,15,,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!13, ,det,,ὁ,τῇ,3588,singular,feminine,dative,-,092004,92.24,T-DSF,τῇ,n52002014013,109779,w,τῇ,I_Thessalonians,13,1Thess,2,14,11,wg,,,np,DetNP,,,,,,377,wg,,,pp,PrepNp,p,,,,,376,wg,,,cl,VC-P-ADV,,,,,,375,wg,,,,DetCL,,,,apposition,,374,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1TH 2:14!14, ,noun,proper,Ἰουδαία,Ἰουδαίᾳ,2449,singular,feminine,dative,Judea,093002,93.486a,N-DSF,Ἰουδαίᾳ,n52002014014,109780,w,Ἰουδαίᾳ,I_Thessalonians,13,1Thess,2,14,11,wg,,,np,DetNP,,,,,,377,wg,,,pp,PrepNp,p,,,,,376,wg,,,cl,VC-P-ADV,,,,,,375,wg,,,,DetCL,,,,apposition,,374,wg,apposition,,np,Np-Appos,,,,,,370,wg,,,np,NPofNP,p,,,,,369,wg,,,cl,,,,,,,367,wg,,,,Conj-CL,,,,,,366,wg,,,,,,,,,,365,,sentence,,,,,,,,,15,,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
